service,year,month,url
fhv,2021,9,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2021-09.parquet
fhv,2021,10,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2021-10.parquet
fhv,2021,11,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2021-11.parquet
fhv,2021,12,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2021-12.parquet
fhv,2022,1,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2022-01.parquet
fhv,2022,2,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2022-02.parquet
fhv,2022,3,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2022-03.parquet
fhv,2022,4,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2022-04.parquet
fhv,2022,5,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2022-05.parquet
fhv,2022,6,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2022-06.parquet
fhv,2022,7,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2022-07.parquet
fhv,2022,8,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2022-08.parquet
fhv,2022,9,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2022-09.parquet
fhv,2022,10,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2022-10.parquet
fhv,2022,11,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2022-11.parquet
fhv,2022,12,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2022-12.parquet
fhv,2023,1,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2023-01.parquet
fhv,2023,2,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2023-02.parquet
fhv,2023,4,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2023-04.parquet
fhv,2023,6,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2023-06.parquet
fhv,2024,3,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2024-03.parquet
fhv,2024,4,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2024-04.parquet
fhv,2024,5,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2024-05.parquet
fhv,2024,6,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2024-06.parquet
fhv,2024,7,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2024-07.parquet
fhv,2024,8,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2024-08.parquet
fhv,2024,9,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2024-09.parquet
fhv,2024,10,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2024-10.parquet
fhv,2024,11,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2024-11.parquet
fhv,2024,12,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2024-12.parquet
fhv,2025,1,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2025-01.parquet
fhv,2025,2,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2025-02.parquet
fhv,2025,3,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2025-03.parquet
fhv,2025,4,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2025-04.parquet
fhv,2025,5,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2025-05.parquet
fhv,2025,6,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2025-06.parquet
fhvhv,2019,2,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2019-02.parquet
fhvhv,2019,3,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2019-03.parquet
fhvhv,2019,4,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2019-04.parquet
fhvhv,2019,5,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2019-05.parquet
fhvhv,2019,6,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2019-06.parquet
fhvhv,2019,7,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2019-07.parquet
fhvhv,2019,8,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2019-08.parquet
fhvhv,2019,9,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2019-09.parquet
fhvhv,2019,10,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2019-10.parquet
fhvhv,2019,11,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2019-11.parquet
fhvhv,2019,12,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2019-12.parquet
fhvhv,2020,1,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2020-01.parquet
fhvhv,2020,2,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2020-02.parquet
fhvhv,2020,3,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2020-03.parquet
fhvhv,2020,4,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2020-04.parquet
fhvhv,2020,5,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2020-05.parquet
fhvhv,2020,6,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2020-06.parquet
fhvhv,2020,7,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2020-07.parquet
fhvhv,2020,8,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2020-08.parquet
fhvhv,2020,9,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2020-09.parquet
fhvhv,2020,10,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2020-10.parquet
fhvhv,2020,11,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2020-11.parquet
fhvhv,2020,12,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2020-12.parquet
fhvhv,2021,1,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2021-01.parquet
fhvhv,2021,2,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2021-02.parquet
fhvhv,2021,3,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2021-03.parquet
fhvhv,2021,4,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2021-04.parquet
